"Cycle","D1","D2","D3"
0,0.1405263119,0.1475306568,0.1454727642
1,0.1460399771,0.1479223401,0.1474461126
2,0.1520586393,0.1482665679,0.147808717
3,0.1513144293,0.1489176364,0.1483215208
4,0.1525136885,0.1493655183,0.1487343487
5,0.1539632217,0.150546809,0.1490988961
6,0.1552569358,0.1510985215,0.1494345634
7,0.1569229625,0.1512648507,0.1498763596
8,0.161589536,0.1515488468,0.1505401579
9,0.1717090861,0.1518554519,0.1505999197
10,0.1913939954,0.1522266163,0.1503455049
11,0.226579042,0.1525489417,0.1498161267
12,0.278607029,0.1529887574,0.1495684535
13,0.3369659666,0.1532933312,0.1493649688
14,0.3877317958,0.1538157521,0.1503430026
15,0.4359198553,0.1545496319,0.1512937755
16,0.4733552518,0.1543069633,0.1523273025
17,0.5074478223,0.152634861,0.1523932466
18,0.5393046289,0.1544401199,0.1551329894
19,0.5650914133,0.1576304738,0.1529610431
20,0.5847341214,0.1624001199,0.1533807009
21,0.6050414532,0.1712343819,0.1530830692
22,0.6123497716,0.1919670171,0.1540762642
23,0.6311229849,0.22727053,0.1557560141
24,0.6480102399,0.2731412108,0.1557145635
25,0.6602849443,0.3232876387,0.1558358831
26,0.6682159085,0.3807624024,0.156242617
27,0.6714106122,0.4246846942,0.1566632168
28,0.6797695366,0.4551228615,0.1549543514
29,0.681098285,0.5010669271,0.155033926
30,0.685176739,0.536066278,0.1578383176
31,0.6898435504,0.5646328764,0.157983218
32,0.6922068375,0.5870751062,0.1609559732
33,0.692502111,0.6090891312,0.165101886
34,0.694075549,0.6258022583,0.172553042
35,0.699538939,0.6353999834,0.1886443206
36,0.7007259496,NA,0.2199438447
37,0.701309662,0.6555750255,0.263718201
38,NA,0.6635535061,0.3097115476
39,NA,0.6722371849,0.3484672618
40,NA,0.6817321865,0.3804974998
41,NA,0.686834322,0.4062621335
42,NA,0.6913065741,0.4271315054
43,NA,0.6988824723,0.4452032861
44,NA,0.7016030373,0.4617273524
45,NA,0.7117355824,0.4770603619
46,NA,NA,0.493222236
47,NA,NA,0.5084738457
48,NA,NA,0.5259327583
49,NA,NA,0.5424242352
50,NA,NA,0.5574463653
51,NA,NA,0.572925335
52,NA,NA,0.5859780615
53,NA,NA,0.6025380732
54,NA,NA,0.6163165089
55,NA,NA,0.6279087791
