"nr","min","lq","mean","median","uq","max","os"
1,0.049184129,0.0512639615,0.05335078684,0.0525599805,0.054455675,0.064066104,"Windows"
8,0.184153582,0.1902611245,0.19927838766,0.1965200835,0.204650142,0.291606375,"Windows"
20,0.456976667,0.479954482,0.49769241141,0.488273169,0.5070207445,0.779734543,"Windows"
30,0.73377977,0.7590078665,0.7996405758,0.777033863,0.8043920505,1.161408666,"Windows"
32,0.789124906,0.8207971675,0.86834971964,0.8454794825,0.8634216445,1.774795557,"Windows"
50,1.390052051,1.4406303625,1.49600582475,1.4801967905,1.5138517895,1.878378685,"Windows"
96,3.555793183,3.7222860495,3.9183936688,3.8208416515,3.949761948,6.140340875,"Windows"
100,3.786996526,3.935873802,4.06481583989,4.0498601545,4.1494619815,5.094098667,"Windows"
300,24.54885328,25.193216519,25.89315931822,25.6566065525,26.1880022885,34.341288808,"Windows"
384,38.575480266,39.459545821,40.43249208243,39.9697518625,40.661369743,50.20097873,"Windows"
765,138.488772329,141.261632411,142.66329215374,142.144003304,142.992736521,165.628443379,"Windows"
1000,235.103252067,238.3121634585,240.88752316334,239.710581032,241.0500797935,280.631792498,"Windows"
1,0.065139271,0.0658931705,0.06752625687,0.0665417515,0.067523501,0.08338023,"Unix"
8,0.238372505,0.2441511065,0.25581668646,0.246877736,0.2501814965,0.429404454,"Unix"
20,0.594147608,0.603583547,0.61257645021,0.610121878,0.615733997,0.753314558,"Unix"
30,0.943002036,0.9539794385,0.97507175051,0.9658560145,0.977083543,1.482265495,"Unix"
32,1.015668032,1.0364615925,1.05648229931,1.046890693,1.058830961,1.260036041,"Unix"
50,1.776807682,1.8065245875,1.8354882413,1.8240827535,1.8423753735,2.024483285,"Unix"
96,4.432814476,4.5132702785,4.62411773693,4.571600549,4.642235327,6.407346063,"Unix"
100,4.703690327,4.7910025035,4.85937240951,4.845485808,4.8778940035,5.666809205,"Unix"
300,28.587425274,28.8941030225,29.21132423884,29.086088938,29.351510459,33.442044223,"Unix"
384,44.20737867,44.678133287,45.16154186362,44.9543657485,45.320280985,52.739210443,"Unix"
765,158.65549006,159.341452786,160.32037006909,159.679212934,160.095508599,179.60755044,"Unix"
1000,264.781385699,265.97792259,268.59307568918,266.5159046315,267.2730011025,305.79343145,"Unix"
